DEM,Matricule
0.118,4
1.0,7
0.0,8
0.0,14
0.0,15
0.0,17
0.0,18
0.024,19
0.0,21
0.0,22
0.0,24
0.0,27
0.047,29
0.0,30
0.0,34
0.0,36
0.544,38
0.0,51
0.135,49
0.0,48
0.0,47
0.0,57
0.0,54
0.0,58
0.124,61
0.0,62
0.428,63
0.0,64
0.065,66
0.035,67
0.724,68
0.774,69
0.0,72
0.0,76
0.0,84
0.0,86
0.258,88
0.0,90
0.0,91
0.0,93
0.108,100
0.0,101
0.893,102
0.262,108
0.91,113
0.0,114
0.0,115
0.316,123
0.221,122
0.0,121
0.0,97
0.568,120
0.0,131
0.751,140
0.145,141
0.3,142
0.196,145
0.734,146
0.0,151
0.133,154
0.692,167
0.286,136
0.686,170
0.0,157
0.0,172
0.078,180
0.456,182
1.0,185
0.036,187
0.101,189
0.087,191
0.44,192
0.985,195
0.0,196
0.189,200
0.312,197
0.168,207
0.0,209
0.152,203
0.816,219
0.704,221
0.323,224
0.0,225
0.0,216
0.106,229
0.0,208
0.118,217
0.792,233
0.761,235
0.225,236
0.981,237
0.073,230
1.0,239
0.0,240
0.811,241
0.836,242
0.0,228
0.02,245
0.0,246
0.626,248
0.0,250
0.061,253
0.0,254
0.0,255
0.608,256
0.0,259
0.0,260
0.253,270
0.09,243
1.0,272
0.081,280
0.194,264
1.0,265
0.0,267
0.45,276
0.418,266
0.1,291
0.935,277
0.0,271
0.0,298
0.019,294
0.896,295
0.379,215
0.129,304
0.171,305
1.0,308
0.0,309
0.538,307
0.0,310
1.0,313
0.068,269
0.0,296
0.199,315
0.226,306
1.0,303
0.038,322
0.0,325
0.0,335
0.095,337
0.523,340
1.0,336
0.0,346
0.382,327
1.0,355
0.926,347
0.0,362
0.161,364
1.0,365
1.0,369
1.0,371
1.0,359
0.045,363
0.0,375
0.027,391
0.0,353
0.775,393
1.0,394
1.0,395
0.0,399
0.058,404
0.72,405
0.432,401
0.357,402
0.06,403
0.0,408
0.136,410
0.0,411
